,r2,rmse,kendall,spearman,mape,month,source
CATACAMAS,-0.4372785871258411,611.1242236425066,0.37844780075380957,0.5144706605406452,189.40440640743546,1,chirps
MANTO,-0.8939071927261861,390.87682874409575,0.2747480354011136,0.3917506940252041,172.21611160359228,1,chirps
EL VIJAO,-0.5651527452732541,634.2464589126812,0.32954545454545453,0.48195187165775405,582.5922824481853,1,chirps
LA LIMA,-4.681438712777525,1421.4647675866133,0.4075831214856867,0.5911255974511702,183.66928646977635,1,chirps
TEGUCIGALPA,-2.7410539948921993,130.50204073863182,0.4036003053144379,0.5518859170165843,369.0544713001118,1,chirps
SANTA LUCIA,-2.0616611162815452,131.77143162093967,0.3371212121212121,0.4886363636363637,180.07620562247484,1,chirps
LA VENTA,-1.615914082049378,134.97406168192015,0.4051359329103309,0.5956342612519194,111.76677129374897,1,chirps
GUINOPE,-1.861514416304325,127.3878494934092,0.20513030511955585,0.28710349345264835,333.60690495425007,1,chirps
SAN ANTONIO DE FLORES,-1.9669927170564927,124.49739532777198,0.09730119338158028,0.12982483992620517,613.083045705198,1,chirps
SAN LUCAS,-5.307186825653024,361.610632396715,0.04338994861948529,0.0536775496880646,694.5769481045545,1,chirps
TEXIGUAT,-14.316195287709359,383.48284582239285,0.3101731788493759,0.37975420074903116,1697.4411237780703,1,chirps
AMAPALA,0.09247610709400755,3.1737560425165654,0.31762350410253737,0.3825656249571189,21.459786258037575,1,chirps
ALIANZA,0.10517306147835337,4.88405094715303,0.2869288806385247,0.3451950832144556,84.4229416194332,1,chirps
CHOLUTECA,0.23792198904814432,30.992468565429213,0.361520470981019,0.4453207579962582,205.4770412868121,1,chirps
EL CEDRITO,0.31607644458389905,9.808183178326345,0.3744427480278596,0.4435727248300154,210.34432035229563,1,chirps
GOASCORAN,-0.2254698584900885,4.4925606199379455,0.29751304910042176,0.36209121466768085,159.80643294511844,1,chirps
LIURE,-24.257244447842034,107.12779773186239,0.21044941119666494,0.2664286611857274,853.7763941804855,1,chirps
NAMASIGUE,0.12362113314280965,24.345478932613897,0.21063053158506975,0.2689084655465672,221.4191824394347,1,chirps
